feedback_id,customerID,submission_date,rating_score,feedback_text
FB-0000001,7590-VHVEG,2025-11-09,1,Constantly having problems.
FB-0000002,5575-GNVDE,2026-06-14,4,Mostly positive experience.
FB-0000003,3668-QPYBK,2026-03-18,2,Customer support was not helpful.
FB-0000004,7795-CFOCW,2025-11-05,3,"It's okay, but not great."
FB-0000005,9237-HQITU,2025-08-25,5,"Excellent service, very satisfied!"
FB-0000006,9305-CDSKC,2026-03-07,2,Customer support was not helpful.
FB-0000007,1452-KIOVK,2025-10-20,3,"It's okay, but not great."
FB-0000008,6713-OKOMC,2025-12-26,1,Extremely dissatisfied.
FB-0000009,7892-POOKP,2025-10-02,2,Customer support was not helpful.
FB-0000010,6388-TABGU,2026-01-01,3,Had a few minor issues.
FB-0000011,9763-GRSKD,2026-02-10,3,Had a few minor issues.
FB-0000012,7469-LKBCI,2026-01-27,3,Service is average. Room for improvement.
FB-0000013,8091-TTVAX,2025-10-16,2,Not happy with the service.
FB-0000014,0280-XJGEX,2026-03-06,3,Service is average. Room for improvement.
FB-0000015,5129-JLPIS,2025-10-06,1,Extremely dissatisfied.
FB-0000016,3655-SNQYZ,2025-08-12,4,Happy with the service overall.
FB-0000017,8191-XWSZG,2026-05-04,2,"Poor experience, frequent disconnects."
FB-0000018,9959-WOFKT,2025-09-12,2,Customer support was not helpful.
FB-0000019,4190-MFLUW,2025-07-10,3,"It's okay, but not great."
FB-0000020,4183-MYFRB,2026-01-07,4,Mostly positive experience.
FB-0000021,8779-QRDMV,2026-03-04,2,"Poor experience, frequent disconnects."
FB-0000022,1680-VDCWW,2025-07-25,4,Mostly positive experience.
FB-0000023,1066-JKSGK,2025-09-21,5,"Great experience, no issues."
FB-0000024,3638-WEABW,2025-11-13,2,"Poor experience, frequent disconnects."
FB-0000025,6322-HRPFA,2025-08-24,2,Not happy with the service.
FB-0000026,6865-JZNKO,2025-09-24,4,Mostly positive experience.
FB-0000027,6467-CHFZW,2025-10-23,1,Extremely dissatisfied.
FB-0000028,8665-UTDHZ,2026-04-24,4,Happy with the service overall.
FB-0000029,5248-YGIJN,2025-08-19,5,"Excellent service, very satisfied!"
FB-0000030,8773-HHUOZ,2025-08-16,1,Constantly having problems.
FB-0000031,3841-NFECX,2025-07-14,1,Constantly having problems.
FB-0000032,4929-XIHVW,2026-04-02,2,Customer support was not helpful.
FB-0000033,6827-IEAUQ,2025-11-06,5,"Excellent service, very satisfied!"
FB-0000034,7310-EGVHZ,2025-08-14,3,Service is average. Room for improvement.
FB-0000035,3413-BMNZE,2025-09-17,2,Not happy with the service.
FB-0000036,6234-RAAPL,2026-06-13,1,Constantly having problems.
FB-0000037,6047-YHPVI,2025-07-05,1,Constantly having problems.
FB-0000038,6572-ADKRS,2026-06-22,5,"Excellent service, very satisfied!"
FB-0000039,5380-WJKOV,2026-06-05,3,"It's okay, but not great."
FB-0000040,8168-UQWWF,2025-07-25,1,"Very poor service, would not recommend."
FB-0000041,8865-TNMNX,2025-10-11,3,Had a few minor issues.
FB-0000042,9489-DEDVP,2025-10-20,2,Not happy with the service.
FB-0000043,9867-JCZSP,2025-12-18,3,"It's okay, but not great."
FB-0000044,4671-VJLCL,2026-06-05,3,Service is average. Room for improvement.
