ticket_id,customerID,ticket_open_date,ticket_close_date,issue_type,priority,status
TKT-0000001,3207-OYBWH,2026-01-23,2026-01-26,Billing Inquiry,Medium,Closed
TKT-0000002,GEN-12388,2026-03-27,2026-04-07,Billing Inquiry,Low,Closed
TKT-0000003,GEN-00083,2026-04-22,2026-04-23,New Service Request,Low,Closed
TKT-0000004,GEN-02107,2025-08-06,2025-08-11,Service Interruption,Low,Closed
TKT-0000005,8949-JTMAY,2026-01-26,2026-02-07,New Service Request,High,Closed
TKT-0000006,GEN-10804,2025-12-19,2025-12-27,Service Interruption,Medium,Closed
TKT-0000007,GEN-05902,2026-02-10,,Billing Inquiry,Low,Pending Customer
TKT-0000008,GEN-04377,2025-10-12,2025-10-21,Billing Inquiry,Low,Closed
TKT-0000009,GEN-10838,2026-04-11,2026-04-22,Billing Inquiry,Low,Closed
TKT-0000010,GEN-06552,2025-09-28,2025-10-07,Service Interruption,Medium,Closed
TKT-0000011,8080-POTJR,2025-12-20,2025-12-26,Service Interruption,High,Closed
TKT-0000012,GEN-01940,2025-12-21,,Technical Support,Medium,Open
TKT-0000013,1624-WOIWJ,2025-08-29,2025-09-06,Service Interruption,High,Closed
TKT-0000014,GEN-01119,2025-12-12,2025-12-24,Billing Inquiry,Low,Closed
TKT-0000015,1094-BKOSX,2025-10-28,,Billing Inquiry,High,Pending Customer
TKT-0000016,GEN-04595,2025-09-24,2025-09-29,Billing Inquiry,Low,Closed
TKT-0000017,GEN-10913,2026-04-10,2026-04-18,Billing Inquiry,Medium,Closed
TKT-0000018,2087-QAREY,2025-06-29,2025-07-04,Technical Support,Low,Closed
TKT-0000019,GEN-09129,2026-03-30,2026-04-09,New Service Request,Low,Closed
TKT-0000020,GEN-10095,2025-12-07,2025-12-17,Billing Inquiry,High,Closed
TKT-0000021,GEN-07456,2025-10-31,2025-11-09,New Service Request,Low,Closed
TKT-0000022,2722-VOJQL,2026-05-27,2026-05-31,Technical Support,Low,Closed
TKT-0000023,GEN-06585,2026-02-09,2026-02-11,Service Interruption,Medium,Closed
TKT-0000024,1335-MXCSE,2025-10-22,2025-11-04,New Service Request,Medium,Closed
TKT-0000025,GEN-09374,2026-01-09,,Service Interruption,Low,Open
TKT-0000026,GEN-02722,2026-02-08,,Service Interruption,Medium,Open
TKT-0000027,GEN-04183,2025-08-24,2025-09-06,New Service Request,Medium,Closed
TKT-0000028,GEN-04759,2026-06-05,2026-06-17,Billing Inquiry,Low,Closed
TKT-0000029,0626-QXNGV,2025-12-05,2025-12-06,Cancellation Request,Medium,Closed
TKT-0000030,9531-NSBMR,2025-09-11,2025-09-16,Billing Inquiry,High,Closed
TKT-0000031,GEN-00696,2025-11-13,2025-11-27,Billing Inquiry,Medium,Closed
TKT-0000032,GEN-02847,2026-04-01,2026-04-05,Technical Support,Medium,Closed
TKT-0000033,GEN-02613,2025-12-16,2025-12-16,Technical Support,Low,Closed
TKT-0000034,1761-AEZZR,2026-03-19,,New Service Request,Low,Pending Customer
TKT-0000035,5649-TJHOV,2025-11-02,2025-11-04,Billing Inquiry,Medium,Closed
TKT-0000036,9894-EZEWG,2025-08-09,2025-08-10,Cancellation Request,Low,Closed
TKT-0000037,GEN-01786,2026-01-09,2026-01-14,Service Interruption,High,Closed
TKT-0000038,GEN-11853,2026-03-24,2026-03-26,Technical Support,High,Closed
TKT-0000039,GEN-05806,2025-12-27,2026-01-08,Cancellation Request,High,Closed
TKT-0000040,GEN-09473,2025-07-03,,Service Interruption,High,Pending Customer
TKT-0000041,3638-WEABW,2026-04-20,2026-04-30,Billing Inquiry,Medium,Closed
TKT-0000042,GEN-10141,2026-03-27,,Service Interruption,Low,Pending Customer
TKT-0000043,GEN-03857,2025-11-03,2025-11-08,Technical Support,Medium,Closed
TKT-0000044,6981-TDRFT,2025-07-18,2025-07-28,New Service Request,High,Closed
TKT-0000045,0519-DRGTI,2025-12-21,2026-01-02,Technical Support,High,Closed
TKT-0000046,GEN-07035,2025-12-19,2025-12-29,Service Interruption,Medium,Closed
TKT-0000047,GEN-00030,2025-11-04,2025-11-10,Billing Inquiry,High,Closed
TKT-0000048,1552-CZCLL,2026-06-25,2026-06-29,Cancellation Request,Low,Closed
TKT-0000049,GEN-02949,2026-04-21,2026-05-01,Billing Inquiry,Medium,Closed
TKT-0000050,GEN-04290,2025-07-14,,Billing Inquiry,Low,Open
TKT-0000051,GEN-01850,2025-12-01,2025-12-09,Cancellation Request,Medium,Closed
TKT-0000052,GEN-06413,2025-08-16,2025-08-20,Billing Inquiry,Low,Closed
TKT-0000053,GEN-04875,2026-06-09,2026-06-15,Billing Inquiry,High,Closed
TKT-0000054,7571-YXDAD,2025-08-19,2025-08-26,New Service Request,Low,Closed
TKT-0000055,GEN-04080,2026-01-15,2026-01-20,Cancellation Request,Low,Closed
TKT-0000056,GEN-06056,2025-12-17,2025-12-30,Technical Support,Low,Closed
TKT-0000057,GEN-12573,2025-12-16,2025-12-23,Technical Support,Medium,Closed
